Type,Runtime,Machine,Run,Time (s)
Warm,node,PC,1,3.086892
Warm,node,PC,2,2.9792206
Warm,node,PC,3,3.0239891
Warm,node,PC,4,3.039301
Warm,node,PC,5,3.0548254
Warm,CLR,PC,1,2.9956067
Warm,CLR,PC,2,2.9742722
Warm,CLR,PC,3,2.9604373
Warm,CLR,PC,4,2.9459947
Warm,CLR,PC,5,3.0047284
Cold,CLR,laptop,1,67.8572515
Cold,CLR,laptop,2,65.1181311
Cold,CLR,laptop,3,56.2217265
Cold,CLR,laptop,4,58.0667868
Cold,CLR,laptop,5,59.3352571
Cold,node,laptop,1,45.0254576
Cold,node,laptop,2,21.14084
Cold,node,laptop,3,19.1838716
Cold,node,laptop,4,16.5352626
Cold,node,laptop,5,18.2839226
Warm,CLR,laptop,1,47.9538627
Warm,CLR,laptop,2,12.1318674
Warm,CLR,laptop,3,11.6678284
Warm,CLR,laptop,4,11.7985653
Warm,CLR,laptop,5,11.7732641
